Rk,Player,Pos,Age,Tm,MP,FG,FGA,FT,FTA,PF,PTS
146,Reggie Evans,PF,34,SAC,764,58,137,60,97,91,176
233,Reggie Jackson,PG,24,DET,870,183,420,82,103,73,476
481,Reggie Williams,SF,28,SAS,105,15,39,4,4,12,37
238,Richard Jefferson,SF,34,DAL,1244,144,324,78,114,115,432
275,Ricky Ledo,SG,22,NYK,233,32,90,15,20,20,89
394,Ricky Rubio,PG,24,MIN,692,78,219,57,71,59,226
225,Robbie Hummel,SF,25,MIN,742,79,172,24,29,86,198
105,Robert Covington,SF,24,PHI,1956,299,756,178,217,189,943
397,Robert Sacre,C,25,LAL,1133,126,306,55,82,121,307
287,Robin Lopez,C,26,POR,1638,234,437,98,127,122,566
221,Rodney Hood,SG,22,UTA,1064,155,374,61,80,119,433
428,Rodney Stuckey,PG,28,IND,1874,332,754,177,216,131,896
374,Ronnie Price,PG,31,LAL,982,77,223,36,45,118,221
447,Ronny Turiaf,C,32,MIN,19,0,0,0,0,0,0
211,Roy Hibbert,C,28,IND,1926,317,710,168,204,216,802
168,Rudy Gay,SF,28,SAC,2408,508,1116,337,393,157,1432
173,Rudy Gobert,C,22,UTA,2158,258,427,170,273,175,686
418,Russ Smith,PG,23,MEM,36,6,15,12,13,7,25
470,Russell Westbrook,PG,26,OKC,2302,627,1471,546,654,184,1886
17,Ryan Anderson,PF,26,NOP,1675,291,729,129,151,113,833
220,Ryan Hollins,C,30,SAC,441,53,82,31,54,65,137
260,Ryan Kelly,PF,23,LAL,1233,104,309,79,95,118,332
113,Samuel Dalembert,C,33,NYK,544,57,130,14,20,70,128
262,Sean Kilpatrick,SG,25,MIN,72,7,20,4,4,3,22
433,Sebastian Telfair,PG,29,OKC,327,46,125,24,34,29,134
227,Serge Ibaka,PF,25,OKC,2116,374,786,92,110,194,917
259,Sergey Karasev,SG,21,BRK,555,54,134,29,38,45,153
111,Seth Curry,PG,24,PHO,8,0,3,0,0,2,0
336,Shabazz Muhammad,SG,22,MIN,866,194,397,104,145,49,512
339,Shabazz Napier,PG,23,MIA,1012,87,228,44,56,76,261
271,Shane Larkin,PG,22,NYK,1865,187,432,61,78,150,470
67,Shannon Brown,SG,29,MIA,89,7,19,3,4,8,20
285,Shaun Livingston,PG,29,GSW,1468,198,396,65,91,110,461
379,Shavlik Randolph,PF,31,BOS,25,3,10,1,2,3,7
295,Shawn Marion,SF,36,CLE,1101,119,267,26,34,58,276
482,Shawne Williams,SF,28,DET,163,19,60,7,7,19,49
